Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
5301000,1.2819029,9.572191,4527.0,451.80006408691406,451.80006408691406,1.0
5302000,1.2422105,9.9306965,None,None,None,1.0
5303000,1.2720493,9.751643,None,None,None,1.0
5304000,1.2903358,9.945003,None,None,None,1.0
5305000,1.3548875,9.948279,None,None,None,1.0
5306000,1.2910666,9.955232,None,None,None,1.0
5307000,1.3025349,9.770404,None,None,None,1.0
5308000,1.299659,9.897556,None,None,None,1.0
5309000,1.2828962,9.935699,None,None,None,1.0
5310000,1.1467441,9.869493,None,None,None,1.0
5311000,1.2185487,9.731697,None,None,None,1.0
5312000,1.2417316,9.966928,None,None,None,1.0
5313000,1.2794408,9.860613,None,None,None,1.0
5314000,1.2573518,9.901785,None,None,None,1.0
5315000,1.281368,9.912621,None,None,None,1.0
5316000,1.242229,9.7381,None,None,None,1.0
5317000,1.3001813,9.975463,None,None,None,1.0
5318000,1.3205876,9.967184,None,None,None,1.0
5319000,1.2648368,9.961303,None,None,None,1.0
5320000,1.2705842,5.275522,3249.0,401.2600607872009,401.2600607872009,1.0
5321000,1.233793,9.107432,None,246.6600341796875,246.6600341796875,1.0
5322000,1.23968,9.961756,None,None,None,1.0
5323000,1.2278368,9.935214,None,None,None,1.0
5324000,1.2586216,9.944807,None,None,None,1.0
5325000,1.1441488,9.919825,None,None,None,1.0
5326000,1.238025,9.965501,None,None,None,1.0
5327000,1.2234094,9.934361,None,None,None,1.0
5328000,1.2329164,9.942495,None,None,None,1.0
5329000,1.2248814,9.936241,None,None,None,1.0
5330000,1.2924756,9.959214,None,None,None,1.0
5331000,1.2817502,9.998479,None,None,None,1.0
5332000,1.3019503,10.000247,None,None,None,1.0
5333000,1.2155244,9.888218,None,None,None,1.0
5334000,1.2009403,9.990948,None,None,None,1.0
5335000,1.2317171,9.969238,None,None,None,1.0
5336000,1.3102539,9.925152,3860.0,None,None,1.0
5337000,1.0998607,9.068272,None,385.0800476074219,385.0800476074219,1.0
5338000,1.163492,9.94273,None,None,None,1.0
5339000,1.310468,9.9631405,None,None,None,1.0
5340000,1.202675,9.932655,None,None,None,1.0
5341000,1.2008351,9.950305,None,None,None,1.0
5342000,1.238531,9.858048,None,None,None,1.0
5343000,1.2477944,9.856149,None,None,None,1.0
5344000,1.3659832,9.953795,None,None,None,1.0
5345000,1.2509354,9.980824,None,None,None,1.0
5346000,1.26893,9.97586,None,None,None,1.0
5347000,1.2793307,9.929281,None,None,None,1.0
5348000,1.1899174,9.969145,None,None,None,1.0
5349000,1.2402104,9.65535,None,None,None,1.0
5350000,1.3212374,9.923141,None,None,None,1.0
5351000,1.3675232,9.4849205,None,None,None,1.0
5352000,1.245685,9.934604,None,None,None,1.0
5353000,1.3281516,9.138215,3220.0,321.0800476074219,321.0800476074219,1.0
5354000,1.2722679,9.952943,None,None,None,1.0
5355000,1.2513738,9.915816,None,None,None,1.0
5356000,1.19557,9.985806,None,None,None,1.0
5357000,1.2517476,9.979349,None,None,None,1.0
5358000,1.2309334,9.921203,3740.0,None,None,1.0
5359000,1.2765435,9.421218,None,373.0200500488281,373.0200500488281,1.0
5360000,1.2535036,9.986021,None,None,None,1.0
5361000,1.314167,9.980223,None,None,None,1.0
5362000,1.3033769,9.924182,None,None,None,1.0
5363000,1.2015179,9.923149,None,None,None,1.0
5364000,1.2617865,9.385529,3382.0,337.2800521850586,337.2800521850586,1.0
5365000,1.3258914,9.928836,None,None,None,1.0
5366000,1.2476448,9.966898,None,None,None,1.0
5367000,1.2467636,9.946902,None,None,None,1.0
5368000,1.2609484,9.912232,None,None,None,1.0
5369000,1.247115,9.910781,None,None,None,1.0
5370000,1.2935307,9.93343,None,None,None,1.0
5371000,1.2473646,9.927284,3733.0,None,None,1.0
5372000,1.2483033,9.208961,3809.0,372.32005310058594,372.32005310058594,1.0
5373000,1.142899,8.940294,None,379.9200439453125,379.9200439453125,1.0
5374000,1.244113,9.994769,None,None,None,1.0
5375000,1.2844548,9.874732,None,None,None,1.0
5376000,1.3456808,9.880653,None,None,None,1.0
5377000,1.2523974,9.993186,None,None,None,1.0
5378000,1.274005,9.769875,3933.0,392.34004974365234,392.34004974365234,1.0
5379000,1.1809177,9.911583,None,None,None,1.0
5380000,1.2565218,9.777908,None,None,None,1.0
5381000,1.0946685,9.910793,None,None,None,1.0
5382000,1.1505738,9.957684,None,None,None,1.0
5383000,1.209156,9.857164,None,None,None,1.0
5384000,1.3020619,9.916414,3913.0,None,None,1.0
5385000,1.3565358,9.028846,None,390.36004638671875,390.36004638671875,1.0
5386000,1.2641428,9.852533,4233.0,None,None,1.0
5387000,1.3008213,8.004746,None,422.3800621032715,422.3800621032715,1.0
5388000,1.1849396,9.929939,None,None,None,1.0
5389000,1.2845978,9.574581,3644.0,363.5000457763672,363.5000457763672,1.0
5390000,1.306391,9.907113,4286.0,None,None,1.0
5391000,1.3233737,8.2024765,4022.0,427.6800594329834,427.6800594329834,1.0
5392000,1.3019352,9.776436,None,None,None,1.0
5393000,1.3013878,9.960881,None,None,None,1.0
5394000,1.2818913,6.1562963,3942.0,397.26005816459656,397.26005816459656,1.0
5395000,1.2958654,9.95344,None,None,None,1.0
5396000,1.2509829,9.979731,None,None,None,1.0
5397000,1.2861682,9.955304,3432.0,None,None,1.0
5398000,1.2948786,7.8276052,None,342.300048828125,342.300048828125,1.0
5399000,1.399352,9.857999,None,None,None,1.0
5400000,1.335205,9.899328,None,None,None,1.0
5401000,1.2665907,9.92675,3809.5,None,None,1.0
5402000,1.3079543,9.377005,None,374.62005615234375,374.62005615234375,1.0
5403000,1.3056818,9.502681,3876.0,385.32005310058594,385.32005310058594,1.0
5404000,1.3085676,9.757362,None,386.6800537109375,386.6800537109375,1.0
5405000,1.2856208,9.893,3753.0,None,None,1.0
5406000,1.2765225,9.258375,3635.0,374.3800506591797,374.3800506591797,1.0
5407000,1.2581782,9.361042,None,362.5600471496582,362.5600471496582,1.0
5408000,1.2922701,9.857069,3861.0,None,None,1.0
5409000,1.3502007,8.873118,None,385.1800537109375,385.1800537109375,1.0
5410000,1.3232503,9.357376,4341.0,433.1200637817383,433.1200637817383,1.0
5411000,1.2681592,9.8854265,3969.0,None,None,1.0
5412000,1.3136542,9.363951,None,395.92005157470703,395.92005157470703,1.0
5413000,1.239429,9.944299,None,None,None,1.0
5414000,1.2858917,9.81155,3984.0,None,None,1.0
5415000,1.2866908,9.707522,None,397.4800567626953,397.4800567626953,1.0
5416000,1.2971525,9.8987875,None,None,None,1.0
5417000,1.3369244,9.816133,None,None,None,1.0
5418000,1.3152217,9.817543,3549.0,None,None,1.0
5419000,1.3635705,9.025305,4283.0,390.70005226135254,390.70005226135254,1.0
5420000,1.2992884,9.881088,None,None,None,1.0
5421000,1.3440583,9.42786,3649.0,363.9800453186035,363.9800453186035,1.0
5422000,1.3263409,9.889496,None,None,None,1.0
5423000,1.3216136,9.866562,None,None,None,1.0
5424000,1.2949404,9.833364,4716.0,None,None,1.0
5425000,1.2555549,9.157189,None,470.6600646972656,470.6600646972656,1.0
5426000,1.3135054,9.571612,4290.0,428.0200595855713,428.0200595855713,1.0
5427000,1.3286989,9.812097,4561.666666666667,None,None,1.0
5428000,1.2464013,9.414867,None,None,None,1.0
5429000,1.2642156,9.758202,None,None,None,1.0
5430000,1.3221396,9.032101,None,448.4200642108917,448.4200642108917,1.0
5431000,1.3928531,9.066518,None,468.7200622558594,468.7200622558594,1.0
5432000,1.2645475,9.857711,None,None,None,1.0
5433000,1.4015687,9.812004,None,None,None,1.0
5434000,1.3511515,6.910469,3116.0,310.6200485229492,310.6200485229492,1.0
5435000,1.3458672,9.847232,None,None,None,1.0
5436000,1.379293,9.817055,None,None,None,1.0
5437000,1.4443138,9.857908,None,None,None,1.0
5438000,1.411345,9.796002,4449.0,None,None,1.0
5439000,1.3587193,8.640554,4499.0,446.48006439208984,446.48006439208984,1.0
5440000,1.3173487,9.851848,None,None,None,1.0
5441000,1.3563361,9.904267,3859.0,None,None,1.0
5442000,1.3285947,9.263772,None,385.0000534057617,385.0000534057617,1.0
5443000,1.3143272,9.904055,None,None,None,1.0
5444000,1.3139888,9.896072,None,None,None,1.0
5445000,1.3137506,9.885147,None,None,None,1.0
5446000,1.3211588,9.903807,3542.0,None,None,1.0
5447000,1.2996324,8.622391,None,353.28004455566406,353.28004455566406,1.0
5448000,1.3541187,9.856806,None,None,None,1.0
5449000,1.3047521,9.90069,None,None,None,1.0
5450000,1.285481,9.819561,None,None,None,1.0
5451000,1.3298411,9.879162,None,None,None,1.0
