Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
33000,2.8815413,399.0,-0.3426968,0.61834556,-4.219167113304138,-4.219167113304138,87.39508247375488,1.0
34000,2.8822165,361.3333333333333,0.21857439,0.48672867,76.33379538853963,76.33379538853963,109.56529235839844,1.0
35000,2.8838353,352.3333333333333,0.10028458,0.6776207,38.26590220133463,38.26590220133463,94.13088989257812,1.0
36000,2.8836741,280.0,0.106456466,0.5205483,118.59372584025066,118.59372584025066,75.85965737700462,1.0
37000,2.8813293,338.77272727272725,0.2584429,0.550945,61.80103715260824,61.80103715260824,107.63318888346355,1.0
38000,2.8794117,None,-0.054146647,1.6931815,28.55625820159912,28.55625820159912,68.71964263916016,1.0
39000,2.8800623,None,0.44832808,0.723596,18.133522152900696,18.133522152900696,56.235466957092285,1.0
40000,2.8802526,None,0.049061332,1.007184,45.0370227098465,45.0370227098465,79.95193815231323,1.0
41000,2.8804574,None,0.31988654,1.3435062,12.373285810152689,12.373285810152689,46.13838418324789,1.0
42000,2.880629,None,0.60486037,1.0139196,41.79605197906494,41.79605197906494,106.67443084716797,1.0
43000,2.881108,307.0,0.86784077,1.1162511,150.5191581249237,150.5191581249237,113.52999369303386,1.0
44000,2.8809981,339.0,-0.41312435,1.1971217,-4.1415319840113325,-4.1415319840113325,54.79693730672201,1.0
45000,2.8803377,299.0,0.110668756,1.226875,33.4044820467631,33.4044820467631,43.2274227142334,1.0
46000,2.8801627,265.0,0.37518778,0.8011379,43.606480062007904,43.606480062007904,80.72387564182281,1.0
47000,2.8799725,360.3333333333333,0.14971116,1.6048226,63.077041149139404,63.077041149139404,114.15879313151042,1.0
48000,2.8798115,399.0,0.16683303,1.2626923,-3.616629719734192,-3.616629719734192,157.50038146972656,1.0
49000,2.880685,337.27272727272725,0.18245594,1.2889705,-3.6770524978637695,-3.6770524978637695,67.24641545613606,1.0
50000,2.8819625,399.0,0.20750487,2.0796087,119.90499496459961,119.90499496459961,89.57233238220215,1.0
51000,2.881648,None,0.62757534,2.4719226,74.64545885721843,74.64545885721843,76.21142896016438,1.0
52000,2.8816779,None,0.6078445,1.9961131,100.45199608802795,100.45199608802795,56.862300872802734,1.0
53000,2.881377,399.0,0.32865077,2.0144086,12.333459758758545,12.333459758758545,35.77646808624267,1.0
54000,2.8801608,None,0.5387251,1.6891906,31.919900834560394,31.919900834560394,52.29219031333923,1.0
55000,2.8791797,97.0,0.7883949,1.2518721,154.71403884887695,154.71403884887695,93.76209259033203,1.0
56000,2.8789225,None,0.48083308,1.3803587,76.13112576802571,76.13112576802571,98.92145284016927,1.0
57000,2.8787045,399.0,0.51916933,2.1922371,75.6709538300832,75.6709538300832,71.03629716237386,1.0
58000,2.8793654,219.0,0.53108495,2.0883763,21.841472148895264,21.841472148895264,34.3785982131958,1.0
59000,2.8789725,253.0,0.60739803,1.4596258,95.09796233177185,95.09796233177185,74.16617884635926,1.0
60000,2.8790033,326.5,-0.38514167,2.6735072,-4.829634189605713,-4.829634189605713,48.01106071472168,1.0
61000,2.879745,256.5,0.33099934,1.9398191,48.51955771446228,48.51955771446228,59.66473960876465,1.0
62000,2.876085,347.0,0.73101956,3.0732994,12.03626036643982,12.03626036643982,36.691383361816406,1.0
63000,2.8753169,None,1.006256,1.8822447,93.74992752075195,93.74992752075195,81.12139511108398,1.0
64000,2.875328,399.0,-0.03955509,2.5287955,37.659246603647865,37.659246603647865,59.23854160308838,1.0
65000,2.8756778,None,-0.15518296,2.6485817,44.12827173868815,44.12827173868815,72.32299550374348,1.0
66000,2.8762593,None,0.5533294,2.7612083,54.829400380452476,54.829400380452476,31.625566482543945,1.0
67000,2.876617,None,0.24587162,2.9258246,4.515654802322388,4.515654802322388,145.09258270263672,1.0
68000,2.8765996,None,0.3428276,2.1550221,5.317950487136841,5.317950487136841,119.00392278035481,1.0
69000,2.8762653,None,0.75336254,1.5686576,22.6398823261261,22.6398823261261,54.02793312072754,1.0
70000,2.8748386,341.0,-0.028030267,2.2276437,66.02829043070476,66.02829043070476,126.47088114420573,1.0
71000,2.8746421,300.3333333333333,0.76531667,2.238301,118.12139924367268,118.12139924367268,75.75596491495769,1.0
72000,2.8733466,353.0,1.2160201,3.1295812,221.25316333770752,221.25316333770752,74.94651794433594,1.0
73000,2.8745534,267.5,0.90442514,1.9385324,52.62734842300415,52.62734842300415,62.027342319488525,1.0
74000,2.873936,299.04761904761904,0.9093323,2.5018947,36.87954727808634,36.87954727808634,47.99587313334147,1.0
75000,2.8732715,399.0,0.9953395,2.6470265,15.661958992481232,15.661958992481232,35.853397846221924,1.0
76000,2.8736768,None,0.73804104,3.5149734,94.72461199760437,94.72461199760437,44.96886944770813,1.0
77000,2.8728833,None,1.0791322,2.642513,87.926052292188,87.926052292188,76.52328491210938,1.0
78000,2.874098,None,1.2290677,2.7309105,106.0771713256836,106.0771713256836,90.64499378204346,1.0
79000,2.8692126,399.0,1.7014595,2.5865107,146.11334737141928,146.11334737141928,56.669630686442055,1.0
80000,2.8670452,None,0.8517688,3.017986,103.98187510172527,103.98187510172527,63.43631331125895,1.0
81000,2.8672283,314.3333333333333,1.1177098,3.0774384,92.13774649302165,92.13774649302165,55.13215287526449,1.0
82000,2.8696246,399.0,0.8870449,3.8781185,39.41189932823181,39.41189932823181,53.99671936035156,1.0
83000,2.870222,350.6666666666667,1.2121845,2.0456746,179.40268834431967,179.40268834431967,28.96455987294515,1.0
84000,2.8716977,276.4,0.85559607,3.001232,53.087431848049164,53.087431848049164,30.78627109527588,1.0
85000,2.871316,250.75,1.2953136,2.6759074,114.27933037281036,114.27933037281036,72.58795902132988,1.0
86000,2.8652787,355.3333333333333,1.3463897,2.3137379,98.02405675252278,98.02405675252278,55.15194956461588,1.0
87000,2.8639617,None,1.473239,3.292434,57.432594339052834,57.432594339052834,40.37663269042969,1.0
88000,2.8648555,None,1.037361,4.1825385,114.43911997477214,114.43911997477214,45.66965421040853,1.0
89000,2.8660355,169.0,1.7479087,2.6750827,153.21268463134766,153.21268463134766,82.42098808288574,1.0
90000,2.8677022,None,1.3905927,2.5586388,282.99169921875,282.99169921875,96.08352915445964,1.0
91000,2.869851,None,1.8167349,3.0292578,128.3150634765625,128.3150634765625,40.36040925979614,1.0
92000,2.8705788,None,1.4693415,2.5356047,154.93448221683502,154.93448221683502,69.30857121944427,1.0
93000,2.8679945,None,-0.09469309,4.8509507,2.239680210749308,2.239680210749308,23.34821891784668,1.0
94000,2.8673344,363.6666666666667,1.4289227,3.8278306,154.2750040690104,154.2750040690104,47.743977864583336,1.0
95000,2.8676307,307.0,0.9614796,4.216064,154.85142342249551,154.85142342249551,75.77426528930664,1.0
96000,2.8631587,334.6666666666667,1.6551604,4.6136746,160.4591921965281,160.4591921965281,93.98301696777344,1.0
97000,2.8639612,399.0,1.6566585,2.4666235,171.93718592325845,171.93718592325845,73.77867889404297,1.0
98000,2.864625,317.6666666666667,1.5981805,3.0703194,413.9669647216797,413.9669647216797,163.13482666015625,1.0
99000,2.8540196,399.0,1.984724,3.3190823,193.11816247304282,193.11816247304282,60.20991643269857,1.0
100000,2.8552806,164.0,1.2577088,4.091732,86.866379737854,86.866379737854,48.34530830383301,1.0
101000,2.8569555,None,1.1807175,4.107296,41.305736511945724,41.305736511945724,28.464134573936462,1.0
102000,2.8585038,399.0,1.2342929,4.4879427,103.97507977485657,103.97507977485657,104.51685333251953,1.0
103000,2.85863,None,2.12327,4.2010055,180.36493937174478,180.36493937174478,145.17854817708334,1.0
104000,2.8587468,None,0.94975334,4.197408,73.74276944001515,73.74276944001515,70.16869799296062,1.0
105000,2.8622453,None,0.8508046,3.765888,217.0437978108724,217.0437978108724,45.408119440078735,1.0
